color,discountReason,extras,gpu_brand,gpu_mem,hdd,name,old_price,os,price,processor,ram,screenMate,screenResol,screenSize,ssd,url,weight
сірий,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб камера'",Intel UHD Graphics 620,,,Ноутбук Asus VivoBook S14 S406UA (S406UA-BM151T) Starry Grey (J2N0CV07S014084) - Уцінка,22499,Windows 10,19260,Intel Core i5-8250U (1.6 - 3.4 ГГц),RAM 8 ГБ,матовий,1920x1080,"14.0""",,,1.2 кг
 чорний ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050 Ti, 4 ГБ ,,Ноутбук Asus ZenBook Pro UX550VE (UX550VE-BN044T) Black (H7N0CX02A326279) - Уцінка,49799, Windows 10 ,39661, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 512 ГБ ,, 1.8 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi- Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 2 ГБ , HDD 2 ТБ ,Ноутбук HP Pavilion Power 15-cb032ur (2LE39EA) Black (5CD7287XQW) - Уцінка,29899, DOS ,25491, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""",,, 2.21 кг 
 сірий металік ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook Pro 17 N705UN (N705UN-GC049) Grey Metal (HAN0CV21D13644D) - Уцінка,28173, Без ОС ,24569, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 12 ГБ ,матовий,1920x1080,"17.3""", SSD 128 ГБ ,, 2.2 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND5509841) - Уцінка,13299, DOS ,11226, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
 чорний,,"' DVD±RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon 530, 2 ГБ , HDD 1 ТБ ,Ноутбук Dell Inspiron 5570 (I515F54H10DDL-8BK) Black (3WMV042) - Уцінка,15199, Linux ,12780, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 4 ГБ ,глянсовий,1920x1080,"15.6""",,, 2.36 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Acer Aspire 5 A517-51G (NX.GSTEU.009) Obsidian Black (NXGSTEU0097370DEA53400) - Уцінка,17199, Linux ,14039, Intel Core i3-6006U (2.0 ГГц) , RAM 8 ГБ ,глянсовий,1600x900,"17.3""",,, 3 кг 
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Dell Inspiron 5379 (I1378S2NIW-8FG) Gray (4PRZ2K2) - Уцінка,29455, Windows 10 Home ,25110, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 8 ГБ ,глянсовий,P,"13.3""", SSD 256 ГБ ,, 1.62 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 17 X705UV (X705UV-GC025) Grey (HAN0CV19L68443H) - Уцінка,16199, Endless OS ,14669, Intel Core i3-7100U (2.4 ГГц) , RAM 6 ГБ ,матовий,1920x1080,"17.3""",,, 2.1 кг 
