color,discountReason,extras,gpu_brand,gpu_mem,hdd,name,old_price,os,price,processor,ram,screenMate,screenResol,screenSize,ssd,url,weight
 камуфляж,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1060, 3 ГБ , HDD 1 ТБ ,Ноутбук MSI GE62VR-7RF Camo Squad (GE62VR7RF-662UA) (K1704N0013222) - Уцінка,55999, Windows 10 ,38234, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/30275943/p30275943/, 2.4 кг 
 чорний,,"' DVD+', '-RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 520 ,,,Ноутбук HP 250 G6 (1XN71EA) Dark Ash (CND7373Q8R) - Уцінка,16623, Windows 10 Pro 64bit ,12221, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/37111176/p37111176/, 1.86 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon RX 540, 2 ГБ , HDD 1 ТБ ,Ноутбук Acer Aspire 5 A515-41G (NH.GPYEU.001) Obsidian Black (NHGPYEU001804036883400) - Уцінка,13999, Linux ,12555, AMD A10-9620P (2.5 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""",,https://rozetka.com.ua/ua/48616822/p48616822/, 2.2 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 2 ГБ , HDD 1 ТБ ,Ноутбук Acer Aspire 7 A715-71G (NX.GP8EU.050) Obsidian Black (NXGP8EU05080305AA03400) - Уцінка,22419, Linux ,19065, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/48587606/p48587606/, 2.35 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 320-15IKB (80XL02R5RA) Onyx Black (SPF10XCZH) - Уцінка,15699, DOS ,14415, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/48615702/p48615702/, 2.2 кг 
 сріблястий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 520 ,,,Ноутбук Lenovo IdeaPad 710S Plus-13ISK (80VU004GRA) Silver (SMP19PM1G) - Уцінка,15699, Windows 10 Home ,13624, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,глянсовий,P,"13.3""", SSD 128 ГБ ,https://rozetka.com.ua/ua/48552198/p48552198/, 1.18 кг 
 сріблястий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 930MX, 2 ГБ ,,Ноутбук HP ProBook 450 G5 (1LU52AV_V12) (5CD8136J67) - Уцінка,27755, DOS ,22612, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/48573574/p48573574/, 2.1 кг 
 темно-сірий,,"' DVD±RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 520 ,, HDD 500 ГБ ,Ноутбук HP 250 G6 (3QL43ES) Dark Ash (CND8104QZG) - Уцінка,13199, DOS ,10614, Intel Core i3-6006U (2.0 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/48574558/p48574558/, 1.86 кг 
 сірий металік ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook Pro 15 N580VD (N580VD-DM441T) Grey Metal (HAN0CV207985434) - Уцінка,27666, Windows 10 ,24959, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/48920342/p48920342/, 1.99 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon RX 540, 2 ГБ , HDD 1 ТБ ,Ноутбук Acer Aspire 5 A515-41G (NH.GPYEU.001) Obsidian Black (NHGPYEU001804033EF3400) - Уцінка,13999, Linux ,12555, AMD A10-9620P (2.5 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""",,https://rozetka.com.ua/ua/48616046/p48616046/, 2.2 кг 
 сріблястий,,"' без ОД ', ' LAN ', ' Wi- Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon 530, 4 ГБ , HDD 1 ТБ ,Ноутбук HP 15-bw564ur (2LD99EA) Silver (CND7291LZV) - Уцінка,13999, DOS ,11625, AMD Quad-Core A12-9720P (2.7 - 3.6 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/48561518/p48561518/, 2.1 кг 
сірий,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб-камера'",Intel HD Graphics 505,,,Ноутбук Lenovo IdeaPad 120S-14IAP (81A500BMRA) Mineral Grey (SYD03HRDK) - Уцінка,9499,DOS,8277,Intel Pentium N4200 (1.1 - 2.5 ГГц),RAM 4 ГБ,матовий,1920x1080,"14.0""",,https://rozetka.com.ua/ua/48565494/p48565494/,1.44 кг
